Batman vs Superman	batman vs superman
Hi	HELLO
How’s it going?	KAISA CHAL RAHA HAI?
Pretty good. Are you a Marvel fan?	ACHA. KYA AAP MARVEL KA FAN HO?
Good to hear. Sure, what about you?	SUN KE ACHA LAGA. AAP KA BHAT KYA HAI?
Yes, I am a huge Marvel fan. One of my favorites is the Avengers. Mark Ruffalo is great as The Hulk. 	HA MAIN BAHOOT BADA MARVEL FAN HUH . AVENGERS MERA FAVORITE AUR MARK RUFFALO BAHOOT BADIA THA HULK JAISAA.
Sure, I liked the Avengers a lot.	TEEK HAI , MERE KHO BHI AVENGERS PASANDH HAI
I also think Ruffalo is a great Hulk.	MAIN BHI YE SOCH RAHA KI MARK RUFFALO BADIA HAI HULK KE LIYA.
Is Avengers the movie we’re supposed to talk about?	kya Avengers aesi Movie he ki hame iske bare me talk karna chahiye?
Rotten Tomatoes gave it a 92% rating and average of 8/10. Yes, I believe so. 	Rottten Tomatoes ne ise 92% rating di he aur 8/10 ka average. ya , me aisa believe karta hu.
Okay then. Right, I’ve always experiened that IMDB gives movies a lower average rating than rotten tomatoes.	tab oke he. Right, me hamesha experience kiya he ki Rotten Tomatoes ke comparison me  IMDB movies ko lower average rating deta he.
Tha	not he it is tha
That's true	ye to sure he
But I guess 92 and 80 are a fair assesment.	but mujhe lagta he ki 92 aur 80 to fair rating assessment he.
Yeah, I think Joss Whedon was a good choice for director also. His vision was really inline with the comics. 	han, mujhe lagta he ki director ke liye bhi Joss Whedon good choice . uska vision comics ke sath vastav me inline tha.
Well, I can’t speak for the comics (haven’t read them), but this movie is a great mashup of all the heroes and their stories.	well, me comics ke regarding to kah nahi sakta (me unhe read nahi kiya ke), but ye movies all heroes aur unki stories ka ek great mashup ke.
I guess it’s just a very good movie with an amazing plot.	meraguess ye he ki ye ek very good movie he amazing plot ke sath
I agree. 	me agree karta hu.
Loki using Clint Barton to help him with the Tesseract was awesome too. I like him even though he's a bad guy	Loki ka Clint Barton ko use karna  Tesseract ki liye help k liye bhi awesome tha. Mujhe wo pasand hai even though wo bad guy hai
Right, that was a great scene.	Haan, badhiya scene tha.
Loki’s a likable villain I’d say.	Main bolunga k Loki ek likable villain hai
It was interesting how it caused such a riff within The Avengers. Thor still felt like he had loyalty to him for a long time during the movie. 	Avengers me uska kaha suni karwarna kaafi interesting tha. Thor ko movie k doran aise lag raha tha uske liye loyalty hai
You think?	Tum ye sochte ho?
I thought he was pretty ruthless with him.	Mujhe to laga wo uske saath kaafi ruthless tha
That’s just my opinion obviously.	Wo bas mera opinion hai obviously.
I can see that somewhat but he could have done a lot more damage if he wanted to. 	Main wo dekh sakta hu but mujhe lagta hai wo bahut jyada damagar kar sakta tha agar wo chahta wo
Do you have a specific example on mind?	Tumhare mind me koi specific example hai?
The end fight scene definitely was. He could have killed him. 	Wo end fight scene definitely. Wo use maar sakta tha.
Oh, the one where Hulk ends up hitting him?	oh wha kha hai jise hulk maar rha hai?
Yeah, that was classic. One of the funniest moments of the movie. I also liked when Iron Man fell back through the wormhole. It had everyone on edge I think. 	ha yeh classic tha film ke sabse majedar samay mai se ek muje bhi pasand aya maine wormhole ke madhyam se vapas gir gaya muje lgta hai ki yeh har kisi ke pass tha
Absolutely. Epic scenes.	bilkul mahakavya ke scenes hai
Can we talk about other movies or just this one?	kya hum isse movie ke bare mai charcha ker sakte hai?
You know, MCU	kya tum MCU jante ho?
I also like the way Nick Fury stood his ground with the Council. Just this one. 	muje bhi yeh pasand hai ki nick fury ne council ke sath apna ground bta diya sirk yeh ek
Understood.	samaj gya
Yeah, Fury’s great too.	ha fury bhi bhota bada hai
So, any final thoughts?	to koi akhri sujhav?
It's crazy that the Council wanted him to drop a nuclear missile into New York. 	ye crazy baat hai ki council chahti hai ki nuclear missile new york par gire
Great examples, man.	great udahran, man
It was great talking to another MCU fan.	Another MCU fan se talk karna great tha
Take care now!	now dhyan rakhna
Definitely! You too!	Definitely! tum bhi!
hi	Namaste
Hi are there any good movies out?	Namaste, aaj kal achha picture chal raha hai kya?
yes have you ever seen a batman movie	Achha... Aap kabhi Batman ka movie pehle kabhi dekha hai?
Yes, I love Batman movies! Who is the actor?	Ji han, Hum ko Batman movies bahut pasand hai. Usme actor kaun hai?
it was christian bale	Actor  Christian Bale tha
Oh wow, I love him. Is there a lot of action in the movie?	Arre wah, Mai usko bahut pasand karta hun. Ye picture me achha mara mari hai kya?
yes it was a darker take on batman it explored batman's damaged mind	Ji hah, isme Batman ka kala side ko bataya, aur Batman ka kharab huwa dimag ko khub dikhaya.
Wow. Does the joker play an important role in it?	Arre wah. Ismi woh joker ka badiya role hai kya?
no i think it was scare crow	No, mujhe lagta hai ki wo scare crow tha
Oh okay. Is it a long movie?	oh okay. kya ye ek long movie hai?
i would say about a hour and a half	me lagbhag hour aur half kahuga.
That's not too bad. 	Ye bahut bad nahi hai
would you like to hear a bit about the plot	kya tum plot ke baare me thoda sunna chahoge
I really want to watch this movie I think	Me really ye movie watch karna chahuga, I think
Sure!	Sure!
ok it starts with bruce as a child	ok ye bruce ke bachpan ke saath start hoti hai
Ah okay. Are his parents alive?	Ah okay. kya uske parents jinda  hai?
Also, what is the name of this movie?	Also, movie ka naam kya hai?
they get kill at the movies after bruce wants to leave 	ve films mein maarana chhod dete hain, jab broos kill karna nahi chahta hain
batman begins	begin hoti he Batman
Okay. Does Bruce want to  seek revenge for the death of his parents?	okey.kya kya apne parents ki death ka Bruce revenge lena chahta he?
yes but someone kills the guy first	ha use guy ko someone pahle hi kill kar deta he
Okay. Does Bruce inherit a lot of money from his parents?	okay. Kya Bruce ko inheritance me lot of money milti he?
yes and he goes and travels the world	ha aur vo world travel karne nikal jata he
to learn how to fight injustice 	ye learn karne ki injustice se kese lade
Oh okay. Who teaches him how to fight?	oh okay.use kon teach karta he ki kese fight kare?
a man named Ra's al Ghul	ek  Ra's al Ghul nam ka man
but it turns out that he was evil and wanted to burn gotham down	lekin ye turn out hota he ki voh evil tha aur Gotham ko burn karna chahta tha
Oh ok I think I remember that	Oh ok mujhe lagta hai mujhe ye yaad hai
So is Bruce loved by the people of Gotham?	To kya Gotham ke log Bruce ko pyar karte hain?
I think  so	Han mujhe aisa lagta hai
i will let you see the rest for yourself	Baki main tumhe khud dekhne duna
thanks for the chat	chat ke liye thanks
Thanks	Thanks
All the best	All the best
hey!	hey
are you still there?	kya tum abhi tak vaha ho?
Hello	hello
what took you so long dude?	kya tumne bahut lamba time liya dude?
yes i just finished reading, i am a slow reader	haa meine abhi reading khatam kiya, mei show reader hui
Oh great	on great
let's roll	lets roll
have you seen the wolf of wall street?	kya aap ne wolf of wall street dekha hai?
no but according to the review it does not sound too good	nahi par review ke according ye acha nati hai
talking based on the ratings i would say it is a decent movie though	rating ke base par ye kal sakte hai ki ye movie secent hai
whaddya think	Kya baat hai
have you seen it\	Kya aap ne dekha
a 78% from rotten tomatoes doesn't seem cheap to me	78% rotten tomatoes chep nahi hai
whats a rotten tomatoes\]	Rotten tomatoes kya hai
What's the name of the movie	film ka kya naam hai
Hi, the rotten tomatoes score is great but the meta critic score seems a little low a movie of this quality. 	namaste, sada hua tomatoes score mahaan hai, lekin meta critic score is gunavatta kee philm se thoda kam lagata hai.
Do you think you will like the movie	kya aapako lagata hai ki aapako film pasand aaegee
What kind of movie is it	yah kis tarah kee philm hai
when was the movie made?	film  kab banee thee?
Wonder woman, I think i would enjoy this movie very much	aashchary hai ki mahila, mujhe lagata hai ki mujhe is film mein bahut maja aaega
Whats the name of the movie	film ka kya naam hai
It is a action movie set in the DC comic world	yah deesee komik duniya mein sthaapit ek ekshan philm hai
Who stars in the movie	: film mein kaun sitaare hain
the movie was made in 2015	Movie 2015 mein banee thee
did it do well in theaters?	kya isane theaters mein achchha pradarshan kiya?
did I have to see other movies to get it?	Kya mujhe ise paane kelie any movie dekhanee hongee?
The main character is Gal Gadot, but also stars  Chris Pine, Robin Wright and Danny Huston	Main character Gal gadot hai, lekin Chris pine, Robin wright aur Danny huston bhi hain
what is the movie about?	Movie ke baare mein kya hai?
No i think this movie is a stand alone piece that you wont need knoledge of other movies to understand it	Nahin, mujhe lagata hai ki yah movie ek stand alone piece hai jise samajhane ke lie aapako movies  ke knowledge kee aavashyakata nahin hogee
It is a war movie action movie	Yah ek war moovie ekshan movie hai
Do you think this is a family movie for the kids	Kya aapako lagata hai ki yah bachchon kelie ek paarivaarik movie hai
Are you familiar with any of the actors in the movie?	Kya aap movie ke kisee bhee kalaakaar se parichit hain?
some of them	Thoda malum
I think its acceptable for a family to watch with children	muje lgta hai ki ek faimly mai bacho ke saath dekh sakte hai
even though its about war	ho skta hai wo war ke bare mai
what kind of color pallet   does it tend to use	konse color ki pallet use hui hai
Yes they don't depict much of the war in the movie its more of theme then actually seeing the war	ha vo film ke war ke bare me jada nhi dikhate ha bas war he dikhate hai
so is it dark and cold or bright and action	to wo dark or cold or bright action hai
The movie tries to stop the war not be in it	movies mai war rokne ke bare mai
how can one person stop a war	kaise ek admi war rok skta hai
I believe the movie is a little bit of both. Bright for some scenes but dark for when things get gritty	muje lgta hai yeh movie dono bright scene or dark scene par based hai
Well shes wonderwoman she has super powers	wo ek wonderwoman hai uske pass super powers hai
so is it like a marvle movie	to wo marvle movie hai
Yes except its in The DC universe instead of Marvle 	haa marvle ke alava dc univerce hai
is it still out in theaters?	ye abhi tak cinemaghar se bahar hai?
I dont think so im pretty sure its out on Blu ray now	Mei ye nahi socha par mejhe vishvash hai ki ye blu ray mei bahar aayegi
hi	hi
what moviie did you see	konsa movie aapne dekha
hello how are you? Have you heard of Batman Begins? It is a great movie!	hello, kaise ho? kya batman begins ke baare me sunna ho? voh badiya movie hein
no tell me more	nahi kuch bolo na
what is it about	kis baare mein ka hein
It stars Christian Bale, Michael Caine, and Liam Neeson. Great cast right? 	yeh christian bale se start hota aur michael caine aur liam neeson.. badiya cast hein na?
yes	haan
it is	voh tho hei
what is the movie about	tho yeh movie kis baare mein ka hei
This is pretty much the reboot of the Batman film franchise with a new origin story. Christian Bale plays Batman. 	yeh thoda rebook batman film franchise se apni nai origin story se likha hein. jo christian bale ne batman ka role plays kiya
cool	Cool, accha hai
how long is the movie	movie kitanee lambee hai
The film has pretty good reviews. Sorry but I am not sure how long the movie is based on the given document	film ko kaaphee achchhe reviews mile hain. Sorry , lekin mujhe yakeen nahin hai ki die gae  document par film kitane samay ke lie aadhaarit hai
oh ok.	oh, thik hai
what genre would you say the movie is	aap kis genre kee movie ise kahenge
